MC-cycles <epsilon> <|m|>
1124 0.156886 1.03
1125 0.156916 1.035
1126 0.156945 1.03
1127 0.156974 1.03
1128 0.157004 1.035
1129 0.157033 1.03
1130 0.157062 1.025
1131 0.157091 1.02
1132 0.157129 1.015
1133 0.157176 1.02
1134 0.157222 1.02
1135 0.157269 1.015
1136 0.157315 1.02
1137 0.157361 1.02
1138 0.157408 1.02
1139 0.157436 1.025
1140 0.157465 1.02
1141 0.157502 1.015
1142 0.157539 1.01
1143 0.157585 1.015
1144 0.157631 1.01
1145 0.157677 1.015
1146 0.157723 1.01
1147 0.157759 1.005
1148 0.157805 1
1149 0.157842 0.995
1150 0.157896 0.99
1151 0.15795 0.985
1152 0.158012 0.99
1153 0.158075 0.99
1154 0.158146 0.995
1155 0.158216 0.99
1156 0.15827 0.985
1157 0.158323 0.985
1158 0.158394 0.99
1159 0.158481 0.985
1160 0.158569 0.98
1161 0.158656 0.975
1162 0.158752 0.97
1163 0.158848 0.975
1164 0.158943 0.97
1165 0.159039 0.975
1166 0.159125 0.98
1167 0.159229 0.985
1168 0.159324 0.98
1169 0.159418 0.975
1170 0.159521 0.98
1171 0.159633 0.985
1172 0.159744 0.99
1173 0.159855 0.995
1174 0.159957 1
1175 0.160077 0.995
1176 0.160196 0.99
1177 0.160314 0.985
1178 0.160433 0.98
1179 0.160551 0.98
1180 0.160669 0.98
1181 0.160779 0.985
1182 0.160888 0.99
1183 0.160997 0.99
1184 0.161106 0.995
1185 0.161215 1
1186 0.161324 0.995
1187 0.161424 0.99
1188 0.161524 0.995
1189 0.161623 0.99
1190 0.161731 0.995
1191 0.161822 1
1192 0.161913 1.005
1193 0.162012 1
1194 0.162111 0.995
1195 0.162209 0.995
1196 0.162308 0.99
1197 0.162398 0.985
1198 0.162487 0.985
1199 0.162569 0.98
1200 0.162658 0.975
1201 0.162739 0.97
1202 0.162812 0.965
1203 0.162884 0.96
1204 0.162957 0.965
1205 0.163029 0.97
1206 0.163101 0.975
1207 0.163173 0.975
1208 0.163253 0.97
1209 0.163333 0.965
1210 0.163413 0.96
1211 0.163493 0.955
1212 0.163573 0.96
1213 0.163652 0.955
1214 0.163731 0.955
1215 0.163811 0.955
1216 0.16389 0.95
