MC-cycles <epsilon> <|m|>
784 -0.0604082 1.015
785 -0.0600127 1.02
786 -0.0596183 1.02
787 -0.0592249 1.015
788 -0.0588325 1.02
789 -0.0584411 1.02
790 -0.0580633 1.015
791 -0.0576865 1.015
792 -0.0573106 1.02
793 -0.0569357 1.02
794 -0.0565617 1.02
795 -0.0561887 1.025
796 -0.0558166 1.02
797 -0.0554329 1.015
798 -0.0550627 1.01
799 -0.0546934 1.01
800 -0.054325 1.015
801 -0.0539576 1.015
802 -0.053591 1.02
803 -0.0532254 1.02
804 -0.0528731 1.015
805 -0.0525217 1.015
806 -0.0521712 1.01
807 -0.0518216 1.005
808 -0.0514728 1.01
809 -0.0511248 1.005
810 -0.0507778 1
811 -0.0504439 0.995
812 -0.0501108 0.99
813 -0.049754 0.985
814 -0.0494103 0.99
815 -0.0490798 0.985
816 -0.0487745 0.98
817 -0.04847 0.985
818 -0.048154 0.98
819 -0.0478388 0.98
820 -0.0475244 0.98
821 -0.0472107 0.985
822 -0.0468978 0.98
823 -0.0465857 0.98
824 -0.0462743 0.985
825 -0.0459758 0.98
826 -0.0456659 0.975
827 -0.0453809 0.97
828 -0.0450966 0.975
829 -0.044813 0.975
830 -0.0445301 0.98
831 -0.0442479 0.98
832 -0.0439543 0.985
833 -0.0436615 0.985
834 -0.0433573 0.99
835 -0.0430539 0.985
836 -0.0427512 0.98
837 -0.0424373 0.985
838 -0.0421241 0.985
839 -0.0418117 0.99
840 -0.0415 0.985
841 -0.0411891 0.985
842 -0.0408907 0.98
843 -0.0405813 0.985
844 -0.0402725 0.98
845 -0.0399645 0.975
846 -0.0396572 0.98
847 -0.0393506 0.975
848 -0.0390448 0.97
849 -0.0387397 0.97
850 -0.0384588 0.975
851 -0.0381669 0.98
852 -0.0378756 0.985
853 -0.037585 0.98
854 -0.0372834 0.975
855 -0.0369825 0.975
856 -0.0366822 0.97
857 -0.0363827 0.97
858 -0.0360839 0.975
859 -0.0357858 0.98
860 -0.0354884 0.985
861 -0.0352033 0.99
862 -0.0349188 0.99
863 -0.0346118 0.995
864 -0.0343056 0.995
865 -0.034 0.99
866 -0.0336952 0.99
867 -0.0333795 0.995
868 -0.0330645 1
869 -0.0327503 0.995
870 -0.0324368 1
871 -0.032124 0.995
872 -0.0318119 1
873 -0.0315006 0.995
874 -0.0311899 0.995
875 -0.03088 0.99
876 -0.0305708 0.995
877 -0.0302737 1
878 -0.0299772 1
879 -0.0296701 1.005
880 -0.0293636 1.01
881 -0.0290465 1.015
882 -0.0287528 1.01
883 -0.0284485 1.005
884 -0.0281448 1.01
885 -0.0278418 1.015
886 -0.0275395 1.02
887 -0.0272492 1.015
888 -0.0269707 1.02
889 -0.0267042 1.025
890 -0.0264382 1.03
891 -0.0261728 1.03
892 -0.0258969 1.025
893 -0.0256215 1.025
894 -0.0253356 1.03
895 -0.0250726 1.035
896 -0.0248214 1.03
897 -0.0245596 1.025
898 -0.0242873 1.03
899 -0.0240044 1.025
900 -0.0237222 1.02
901 -0.0234295 1.015
902 -0.0231375 1.01
903 -0.0228461 1.01
904 -0.0225664 1.005
905 -0.0222873 1.005
906 -0.0219978 1.01
907 -0.0217089 1.005
908 -0.0214427 1
909 -0.0211771 0.995
910 -0.0209011 0.99
911 -0.0206147 0.985
912 -0.0203289 0.99
913 -0.0200329 0.995
914 -0.0197374 0.99
915 -0.0194645 0.985
916 -0.0191921 0.985
917 -0.0189204 0.98
918 -0.0186492 0.985
919 -0.0183896 0.99
920 -0.0181304 0.99
921 -0.0178719 0.985
922 -0.0176139 0.98
923 -0.0173348 0.985
924 -0.0170455 0.99
925 -0.0167459 0.985
926 -0.0164471 0.99
927 -0.0161489 0.99
928 -0.0158513 0.99
929 -0.0155436 0.995
930 -0.0152258 0.99
931 -0.0149087 0.995
932 -0.0145923 0.99
933 -0.0142765 0.995
934 -0.0139615 0.995
935 -0.0136471 0.995
936 -0.013344 1
937 -0.0130309 1.005
938 -0.0127186 1
939 -0.0124068 1.005
940 -0.0120957 1.01
941 -0.0118066 1.005
942 -0.011518 1.005
943 -0.0112301 1
944 -0.0109428 1.005
945 -0.0106561 1.005
946 -0.0103594 1
947 -0.0100634 1.005
948 -0.00975738 1
949 -0.00944152 0.995
950 -0.00911579 1
951 -0.00878023 0.995
952 -0.00844538 0.99
953 -0.00809024 0.985
954 -0.00774633 0.98
955 -0.00740314 0.975
956 -0.00706067 0.98
957 -0.00671891 0.98
958 -0.00636743 0.975
959 -0.00601668 0.975
960 -0.00567708 0.97
961 -0.00533819 0.965
962 -0.005 0.97
963 -0.00466251 0.97
964 -0.00432573 0.97
965 -0.00398964 0.975
966 -0.00365424 0.97
967 -0.00332989 0.965
968 -0.0030062 0.965
969 -0.00268318 0.97
970 -0.00235052 0.965
971 -0.00201854 0.97
972 -0.00170782 0.965
973 -0.00139774 0.97
974 -0.00110883 0.965
975 -0.000820513 0.96
976 -0.000553279 0.955
977 -0.000286592 0.95
978 -2.04499e-05 0.945
979 0.000245148 0.945
980 0.000510204 0.95
981 0.00077472 0.945
982 0.0010387 0.95
983 0.00131231 0.945
984 0.0015752 0.95
985 0.00183756 0.945
986 0.00210953 0.94
987 0.00238095 0.935
988 0.00265182 0.935
989 0.00292214 0.935
990 0.00320202 0.93
991 0.00348133 0.925
992 0.00376008 0.925
993 0.00403827 0.925
994 0.00430584 0.92
995 0.00457286 0.92
996 0.00483936 0.915
997 0.00511535 0.92
998 0.00539078 0.925
999 0.00565566 0.92
1000 0.00592 0.915
1001 0.00618382 0.915
1002 0.00644711 0.915
1003 0.00671984 0.92
1004 0.00698207 0.915
1005 0.00724378 0.92
1006 0.00750497 0.925
1007 0.00775571 0.93
1008 0.00801587 0.925
1009 0.00826561 0.93
1010 0.00851485 0.93
1011 0.0087636 0.93
1012 0.00901186 0.935
1013 0.0092695 0.94
1014 0.00952663 0.935
1015 0.00978325 0.94
1016 0.0100394 0.945
1017 0.0102852 0.94
1018 0.0105501 0.935
1019 0.0108047 0.93
1020 0.0110588 0.935
1021 0.011332 0.94
1022 0.0116047 0.935
1023 0.0118768 0.94
1024 0.0121484 0.94
1025 0.0124 0.945
1026 0.0126413 0.95
1027 0.0128919 0.955
1028 0.013142 0.95
1029 0.0134014 0.955
1030 0.0136602 0.955
1031 0.0139088 0.95
1032 0.014157 0.945
1033 0.0144046 0.94
1034 0.0146518 0.945
1035 0.0148986 0.95
1036 0.0151351 0.945
1037 0.0153905 0.95
1038 0.0156455 0.945
1039 0.0159095 0.95
1040 0.0161731 0.95
1041 0.0164361 0.95
1042 0.0167083 0.955
1043 0.0169703 0.96
1044 0.0172318 0.955
1045 0.0174928 0.95
1046 0.0177725 0.945
1047 0.0180516 0.94
1048 0.0183302 0.935
1049 0.0186082 0.935
1050 0.0188857 0.94
1051 0.0191532 0.935
1052 0.0194202 0.935
1053 0.0196866 0.94
1054 0.0199431 0.935
1055 0.0201896 0.93
1056 0.0204356 0.935
1057 0.0206906 0.94
1058 0.0209357 0.935
1059 0.0211804 0.935
1060 0.0214245 0.93
1061 0.0216682 0.935
1062 0.0219209 0.94
1063 0.0221731 0.935
1064 0.022406 0.93
1065 0.0226385 0.925
1066 0.0228612 0.92
1067 0.0230834 0.915
1068 0.0233052 0.91
1069 0.0235267 0.915
1070 0.0237383 0.91
1071 0.0239496 0.905
1072 0.0241698 0.9
1073 0.0243802 0.905
1074 0.024581 0.9
1075 0.0247814 0.9
1076 0.0249907 0.905
1077 0.0251996 0.9
1078 0.0254082 0.895
1079 0.025607 0.9
1080 0.0258148 0.905
1081 0.0260222 0.91
1082 0.0262292 0.91
1083 0.0264451 0.915
1084 0.0266697 0.91
1085 0.026894 0.91
1086 0.0271087 0.905
1087 0.0273137 0.9
1088 0.0275276 0.905
1089 0.0277319 0.91
1090 0.0279358 0.905
1091 0.0281393 0.905
1092 0.0283333 0.9
1093 0.028527 0.9
1094 0.0287203 0.905
1095 0.0289132 0.9
1096 0.0291058 0.9
1097 0.0292981 0.905
1098 0.0294809 0.91
1099 0.0296633 0.905
1100 0.0298273 0.9
1101 0.03 0.905
1102 0.0301724 0.905
1103 0.0303445 0.905
1104 0.0305254 0.91
1105 0.0306878 0.905
1106 0.0308499 0.905
1107 0.0310117 0.9
1108 0.0311733 0.895
1109 0.0313255 0.9
1110 0.0314685 0.905
1111 0.0316112 0.9
1112 0.0317536 0.9
1113 0.0319048 0.905
1114 0.0320557 0.905
1115 0.0322152 0.91
1116 0.0323656 0.915
1117 0.0325067 0.92
1118 0.0326476 0.925
1119 0.0327882 0.93
1120 0.0329286 0.935
1121 0.0330687 0.93
