MC-cycles <epsilon> <|m|>
571 0.168984 0.975
572 0.169003 0.975
573 0.168988 0.98
574 0.168955 0.985
575 0.168957 0.99
576 0.168941 0.985
577 0.168943 0.99
578 0.168945 0.985
579 0.168964 0.99
580 0.168983 0.995
581 0.169002 1
582 0.169021 1
583 0.169057 0.995
584 0.169127 0.99
585 0.169179 0.995
586 0.169215 0.99
587 0.16925 0.995
588 0.169286 0.995
589 0.169321 0.995
590 0.169322 1
591 0.169323 1.005
592 0.169341 1
593 0.169359 1.005
594 0.169377 1.005
595 0.169395 1.005
596 0.169396 1.01
597 0.169397 1.005
598 0.169381 1.01
599 0.169366 1.015
600 0.16935 1.015
601 0.169334 1.02
602 0.169319 1.025
603 0.169303 1.03
604 0.169321 1.025
605 0.169339 1.02
606 0.169356 1.015
607 0.169374 1.015
608 0.169391 1.01
609 0.169392 1.005
610 0.169393 1.005
611 0.169394 1
612 0.169395 1.005
613 0.169413 1.01
614 0.16943 1.005
615 0.169447 1.01
616 0.169448 1.005
617 0.169449 1
618 0.169482 0.995
619 0.169532 0.99
620 0.169581 0.985
621 0.169614 0.98
622 0.169646 0.98
623 0.169679 0.975
624 0.169712 0.975
625 0.169776 0.98
626 0.16984 0.985
627 0.169904 0.985
628 0.169968 0.98
629 0.170048 0.975
630 0.170127 0.975
631 0.170206 0.975
632 0.170285 0.98
633 0.170363 0.975
634 0.170457 0.97
635 0.170551 0.965
636 0.170645 0.965
637 0.170722 0.97
638 0.170815 0.965
639 0.170923 0.97
640 0.171031 0.97
641 0.171139 0.965
642 0.171231 0.97
643 0.171322 0.97
644 0.171429 0.975
645 0.171535 0.975
646 0.171641 0.975
647 0.171777 0.97
648 0.171914 0.97
649 0.172049 0.97
650 0.1722 0.965
651 0.17235 0.97
652 0.1725 0.97
653 0.172649 0.97
654 0.172798 0.97
655 0.172931 0.975
656 0.173049 0.98
657 0.173181 0.985
658 0.173298 0.98
659 0.173399 0.985
660 0.173515 0.99
661 0.173646 0.985
662 0.173776 0.985
663 0.173922 0.99
664 0.174066 0.985
665 0.174211 0.985
666 0.174354 0.98
